x1i10hfl_href,x193iq5w,xdj266r,x1i10hfl,x1i10hfl_href_3,x193iq5w_2,platform,style-scope_src,yt-simple-endpoint_href,style-scope,yt-simple-endpoint,yt-simple-endpoint_href_2,yt-core-attributed-string,style-scope_2,style-scope_3,unnamed:_8,unnamed:_9,unnamed:_10,css-175oi2r_href,css-9pa8cd_src,css-175oi2r_href_2,css-1jxf684,css-1jxf684_2,css-1jxf684_3,css-175oi2r_href_5,css-175oi2r_href_6,css-1jxf684_4,css-1jxf684_5,css-1jxf684_6,css-1jxf684_8,css-146c3p1_href,css-146c3p1,r-4qtqp9_src,xpdipgo_src,x1i10hfl_href_2,_ap3a,_a9ze,x1lliihq,x1lliihq_2,_a9yi,css-9pu1vy-styleduserlinkavatar_href,css-11j0z2t-imgavatar_src,css-1uxwbtk-spanusernametext,css-z35s28-pcommenttext,css-ckdg7w-spancreatedtime,css-1fhml0h-spancount,unnamed:_6,unnamed:_7,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_noleBxV5snWzFrLjU16Qak9wuDziMsyxeO0fPArfQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@waswasiah9689,@waswasiah9689,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugzoc9NS6KqKXgjBxdp4AaABAg,Trimakasih infermasinya ibu,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_ka_OJb0XNJYDEohFXLN9aw8SQx2wooMyAYwzwnScVwBS5AeOdo4U3-cDL-EXswMyKilw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@artinimelak5366,@artinimelak5366,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgydO0wUTEajeO1ZPEN4AaABAg,Bagus banget tas my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_kf9KU5X_J0__f5ZsDBAK8AS_xbUJxt53gqhwb3MKU=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@intangarut8354,@intangarut8354,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugy76O0xzaaSNJpdF3p4AaABAg,"Akhir bulan rencana mudik ke Garut, InsyaAllah mampir belanja di Altisa, minta discount ya, Bu? He he...",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_mGCcO77qRAILeeq23h9y6AoVb-S6jhNjs55xh4H1JqzRtYoueMFrSC8S9Y7lZhzF6Tww=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@srymulyatii2306,@srymulyatii2306,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgzK-mYeBt0JWq28thh4AaABAg,Blh pilih tasnya dan berapa harganya? Blh model tas sama dompet nya jg asli kulit yah sy tinggal di bali? Ksh kbr yah?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nEm552y_vq3QhV4ykdrodyQu9efHxOKaUfgwoxWcA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@nenirulyani8855,@nenirulyani8855,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgzTIFWv0x6CSPvk5Kl4AaABAg&pp=0gcJCSMANpG00pGi,Ini tokonya masih di  sukareang ya?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_lXc5UA50P0MC8Z3l_hXvLv7B2TSeR_ZT0FUwhvepQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@rizkywahyu2025,@rizkywahyu2025,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugzwhn2THE-ewsy4lF14AaABAg,"Cek harga kak, tas fosil kuning",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_la_07zoaORpKCYmMnleQLEDWlTrDleYJ2UbY_Dqnw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@eniyatiprayitno654,@eniyatiprayitno654,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugzq4qYruyf7y_hOm2p4AaABAg,Assalamualaikum bgmn caranya ibu untuk jadi reseller,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@ribucaroline6167,@ribucaroline6167,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgxLxyQZDDEbm_TRxcp4AaABAg,Ini tas wanita coklat n biru  brp hrgny bu mn no wanya.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@99510004,@99510004,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugz2yIY9R7FCU6LgzvZ4AaABAg,ada lapak di tokopedia?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@sabirinlahei7566,@sabirinlahei7566,1 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgwQtHeIpJqrC0OfX6t4AaABAg,sayang tidak ada kontak yang bisa dihubungi buat bermitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@randuanggara9403,@randuanggara9403,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugz7aXIJ0kn0Ci_MElZ4AaABAg,Ass Bu Abi  gaduh bahan kulit ti pabrik  upami peryogi ready stick,1,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@diarysibungbung,@diarysibungbung,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgzdTOGMYksVFck9tKB4AaABAg,Sayang g ada kontaknya...,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@marthashinta5958,@marthashinta5958,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgyiaEHzGqCZkf9Snah4AaABAg&pp=0gcJCSMANpG00pGi,Kang Arief  no wa nya ALTISA  tulis dong.. biar  lbh lengkap,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@nurcahyaningrum,@nurcahyaningrum,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgxgAfLmNOTdihPMB3t4AaABAg,Imaji. Dakifty. RQ. Syagita.Haska.Aska. LQ.Ghazi. Altisa.,,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@indeschannel8281,@indeschannel8281,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgxPIq8kD6d22CIMk914AaABAg,Link pembelian,2,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@siapacantik2932,@siapacantik2932,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgyCwTutDAcMghx9tdR4AaABAg,Harga nya tas kulis asli spi brapa Bu...,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@NurulalamsyahAlamsyah-bc1ts,@NurulalamsyahAlamsyah-bc1ts,1 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugy17y2Y3D3RHqOF6RB4AaABAg,Nama toko nya pak di shopee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@ranpnd2072,@ranpnd2072,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgxJxPAKr7GJ5Pgz5x54AaABAg,"Apa ada tas gendong cewenya, kalau pengen tau gimana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nhoOi8Lhcr7w0l0Ur6N0ern1n6gqe49p8sDZDsXjKezsAllwS3frRAi1p45L_qVDrCfQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ribucaroline6167,@ribucaroline6167,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgxLxyQZDDEbm_TRxcp4AaABAg,Ini tas wanita coklat n biru  brp hrgny bu mn no wanya.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_mOGYWlakfX3kJZztWnDyzOZczcBsJoNVezScNfYbPndg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@99510004,@99510004,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugz2yIY9R7FCU6LgzvZ4AaABAg,ada lapak di tokopedia?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nuNlfceTDiBSTQUhxQ56YDJFbBu1DjRfTpJMFP6ck9D0x3tsglom8eMUA2blBLpRVU8w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@sabirinlahei7566,@sabirinlahei7566,1 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgwQtHeIpJqrC0OfX6t4AaABAg,sayang tidak ada kontak yang bisa dihubungi buat bermitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_mRUPEVs1NW1mJTnQRfIL319EZ0jK8gL5MU0AEuDJ0=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@randuanggara9403,@randuanggara9403,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugz7aXIJ0kn0Ci_MElZ4AaABAg,Ass Bu Abi  gaduh bahan kulit ti pabrik  upami peryogi ready stick,1,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/vSsSjEqTSERE6-VK3Ik0qOWkJVWUbpKfRYSpR1sLtfMDvoCLWuBrdSpMOuuOTnaP0ute6J-Lbw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@diarysibungbung,@diarysibungbung,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgzdTOGMYksVFck9tKB4AaABAg,Sayang g ada kontaknya...,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_kcFwHceuSjrAN21C7qAEiZhZcjftPOfbNlG5jTdf8=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@marthashinta5958,@marthashinta5958,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgyiaEHzGqCZkf9Snah4AaABAg&pp=0gcJCSMANpG00pGi,Kang Arief  no wa nya ALTISA  tulis dong.. biar  lbh lengkap,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/uywPmmHJgrRvamilufN4tnBaTKthH8iL3e0j6b0deUNzJ1Bd6bFF50Xu00cAO4615JHSs1YIMA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@nurcahyaningrum,@nurcahyaningrum,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgxgAfLmNOTdihPMB3t4AaABAg,Imaji. Dakifty. RQ. Syagita.Haska.Aska. LQ.Ghazi. Altisa.,,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/0XWppEm6916-yQjkfCYfXPKDPW9fNSfRnINftrwA1RakNSz9JwAHLPSStFCohXlNvSnXRAJUIwM=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@indeschannel8281,@indeschannel8281,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgxPIq8kD6d22CIMk914AaABAg,Link pembelian,2,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_mAwTftn-ef_EtMdiprWeIy-XHMmmMRs951lluat_ds0g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@siapacantik2932,@siapacantik2932,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgyCwTutDAcMghx9tdR4AaABAg,Harga nya tas kulis asli spi brapa Bu...,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_k1LWy2-ZaCt94WtaY4PUNFE_nUp-XVIvsg9jCs2tC1GNY_tKwPcAude-AKcSa6CckaqQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@NurulalamsyahAlamsyah-bc1ts,@NurulalamsyahAlamsyah-bc1ts,1 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugy17y2Y3D3RHqOF6RB4AaABAg,Nama toko nya pak di shopee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nozxui9ILXrX_8Izxu9tBkihzVUcSXgN-vOeZvyTI=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ranpnd2072,@ranpnd2072,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgxJxPAKr7GJ5Pgz5x54AaABAg,"Apa ada tas gendong cewenya, kalau pengen tau gimana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_mXl5vEZetSFCfuG2B7_VLqc38fE5TVJMtL_CGIeMUbdXJf55quvy5KONcX81xCv66Llw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Juwitaaja9486,@Juwitaaja9486,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgxeOOFfVPh_cXZTEtx4AaABAg&pp=0gcJCSMANpG00pGi,Boleh minta no wa pemilik nya,1,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_mZ2daLTjGGi9zviVJt3B__CO7tcsQJmhk6N2FR2mY=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@daman5488,@daman5488,1 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgwBr9c0hWWzvmzMsHd4AaABAg,No wa tokonya bang ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/dxqm0JaXuxTHnbRTuU3UtBIFaGrcvzSDSWX_zYakyxYv3dmeZVcQUF2SlpJB_d8FVA4xJOsUjbc=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Hidayah-xf6iy,@Hidayah-xf6iy,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgzEybLCl29FCpAYZTl4AaABAg,Ngga ada nmr tlpn toko altisa ya min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nk0uPiScZ1125YNGEYw1GxNYvNVng7O4-wrbIEMCA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@bandungraya2819,@bandungraya2819,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgzhxdDGF0zTf_iSYq54AaABAg,Harganya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_kuWA2sGjs3mT4qmh_k-blatkNQFEfsVekLf30EvGc=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@murniati7595,@murniati7595,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgyLJc6bSRPAd4PJhS54AaABAg,jlo ada no wa nya dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_kgWEvg8KgghJTsCy-dqXg1EQV75mchfm6hswUFSFvMHFs=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@srifadilah161,@srifadilah161,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgzpZG1Hnvb-3RFJEzB4AaABAg,Bisa minta wa nya,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_m0woX6FPeglGrVsuhXooaJRtnLMBTr4c0cz6mxqFE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@maliksuhartono6505,@maliksuhartono6505,3 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=Ugw4yU0MCjrk8UNPRzZ4AaABAg,Minta no  hp altisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,,https://www.youtube.com/@murniati7595,@murniati7595,4 tahun yang lalu,https://www.youtube.com/watch?v=0c6UL0EmkQs&lc=UgzSIcqo45_dtFH80kd4AaABAg,Bu mestinya no hp nya dipajang disini dong..mkssy pengin punya no wa nya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nTeuSNs7Fwcmo4n5L9Siwty8iZJhYQBPCFxj2wQks=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@tetehgarut9482,@tetehgarut9482,7 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgzV31J6vT7NS9UBBwN4AaABAg,Produksi kulit dari Garut Terkenal di Nanca Negara*Terutama Jackets kulit*Maju Terus Garut*,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nIA75ZsRzA-msDbnzHxxG-Ovlw7yxgoRV8Woir98Y=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@chandrahermawan2778,@chandrahermawan2778,6 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgwnrLPK-aMQuPu31F54AaABAg,"alhmdulilah, smoga sukses trus kota klahiran ku grt",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_lJDYPih61UMx1uGUlwuf8g5jQJUoJQGzPM5XVVLWuDKA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@andrianthigarsel5159,@andrianthigarsel5159,7 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=Ugz8LND5T5PjKgQinXx4AaABAg,kren indonesia semoga sukses garut,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nOM4GWf19EJlCm6SJ0Dp014aR4g9--JPooq50zbh_lzQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@rizalofficial7803,@rizalofficial7803,4 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgzIka_IE3Vd-nnN3HJ4AaABAg,"saya bangga jadi orang sukaregang,",,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nLLCf0Zah8NqOj3Ou5WQJ8JNI38BQSLt6opFK7GydeRlI=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@nongilal4459,@nongilal4459,6 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=Ugx0ULeYw7yz1CHI6Ul4AaABAg,Kangen Garut..,1,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_lE8p9BprayXXNMSGSzW2_z1WWb4daKhSXtOnZveiCBTw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@rozeita5452,@rozeita5452,6 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=Ugy1MuM5J0GC3QuxY_x4AaABAg,"maju lah kota garut ku
dombrutt hehe",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_ngKOtPIR7ItAn_BMWxqQvpg-sD4yc8V2FbESfiZfc=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@superdobi7629,@superdobi7629,4 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgzONxhCbSV5rk9dLhZ4AaABAg,"Kehkehkeh !! 
Asslm admin minta pencerahan ttg Kota Garut ! Gi mana cara mau kekota tersebut ??Dimana terletaknya Kota Garut ?? Kota yg berhampiran kota apa ??",,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_kdkEdT0hsKwIY9bC5D9EhLaeTQmwVIeRsaRGGbW6Y=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@aay4570,@aay4570,6 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgzK8b_XfTK82Ffo0v94AaABAg,"Jaket  kulit  garut  ..dodol   GARUT  domba  GARUT  ..oleh "" GARUT   ...is the best    GARUT  no 1 ..maju  truss   garut   ..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_mdxCz2Cmg_qUUqD3xCZP6Z9WSC8-OHGWC7MxgbP2hrJA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@hendrasirait1318,@hendrasirait1318,6 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgxYiUAHRPee0IRH4zd4AaABAg,"air limbah usaha penyamakan kulitnya,dibuang kemana ya dan diolah apa tidak ya? smoga usaha lokal yang mnjadi kebanggaan garut dan dikenal terbaik tidak menimbulkan dampak cemar lingkungan.jayalah terus Garut Ku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_kpQzEeK-qVXk2XxfuPsdBpRXsSn22muaHtRvMfwtk=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@kamalaja8889,@kamalaja8889,6 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgzKZW7XMelNWgUOZ1Z4AaABAg,Sukses domba garut tercinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_kQqpi7bVpU1wVYppKyRMt00MybWGSqu3kNVxJKSad6Lg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@agussobur4897,@agussobur4897,6 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=Ugxvv-DO-VDr56BPTc94AaABAg,"Semoga pengelolaan limbah nya benar benar di perhatikan, sehingga tidak menimbulkan pencemaran lingkungan di sekitar nya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_njcFy3p_v1KwsAS1KjsHSvdPQKIb4C6-zUCoApzlyNnw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@agustianprecious2591,@agustianprecious2591,6 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=Ugw1KlbMQoyRvkBoEO54AaABAg,Pembawa acaranya hadeuh manis,,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_kzXC_Qii3mzv3h2sKMDwklseVqUG_3uYQAwhAP9g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@dennywood8058,@dennywood8058,7 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgyMs_I82FiD58yPV5F4AaABAg,KWALITAS NYA GAK DIRAGUKAN LAGI....HARGA SANGAT MURAH...,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_mwntsDgIhDiQK0NphCpRHrM3j047LMWYyeznnndOGhos4=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@03.amaliaafidatulaini83,@03.amaliaafidatulaini83,4 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgyJc0A9hkWrJ0jxSYJ4AaABAg,Selamat vidio anda menjadi materi pembelajaran saya:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nnUoJzIY-8YoEKCQpqq8CI4DbaJG3nvilQrOoz2kg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@amriyansar1595,@amriyansar1595,6 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgzgwtQcJjxUeriRvHZ4AaABAg,Salamu alaikum,,Terjemahkan ke bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,youtube,https://yt3.ggpht.com/ytc/AIdro_nOWHrHjYrKgneSGsM_13YKipphgoVZoPBkw2oKSCA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@kojongremonasgar1289,@kojongremonasgar1289,7 tahun yang lalu,https://www.youtube.com/watch?v=fBw4q4f-CB4&lc=UgzOtETCUw1d6oRVZl54AaABAg,hidup garutt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
